iter	Passed	Remaining
492	637	655
493	639	654
494	640	653
495	641	652
496	644	652
497	646	651
498	648	650
499	650	650
500	651	649
501	660	655
502	661	653
503	665	655
504	667	653
505	668	652
506	677	659
507	680	658
508	682	658
509	687	660
510	689	659
511	691	659
512	693	658
513	695	657
514	696	655
515	697	654
516	699	653
517	701	653
518	702	651
519	704	650
520	706	649
521	708	648
522	710	648
523	712	646
524	713	645
525	714	643
526	715	642
527	717	641
528	719	640
529	721	639
530	722	637
531	723	636
532	724	634
533	725	632
534	726	631
535	726	629
536	728	628
537	729	626
538	730	624
539	731	622
540	732	621
541	734	620
542	736	619
543	736	617
544	738	616
545	742	617
546	746	618
547	748	616
548	749	615
549	751	614
550	752	613
551	753	611
552	755	610
553	756	609
554	757	607
555	759	606
556	760	604
557	765	606
558	781	616
559	783	615
560	785	614
561	786	613
562	788	611
563	789	610
564	790	608
565	798	612
566	801	612
567	802	610
568	804	609
569	808	609
570	811	609
571	813	608
572	815	607
573	816	605
574	817	603
575	817	602
576	818	600
577	820	598
578	821	597
579	823	596
580	825	595
581	827	594
582	829	593
583	830	591
584	832	590
585	834	589
586	835	587
587	837	586
588	839	586
589	841	584
590	842	583
591	843	581
592	844	579
593	847	579
594	855	582
595	856	580
596	858	579
597	859	577
598	860	576
599	862	574
600	863	573
601	864	571
602	866	570
603	868	569
604	870	568
605	871	566
606	873	565
607	874	563
608	874	561
609	875	559
610	876	557
611	876	555
612	878	554
613	879	552
614	880	551
615	882	550
616	885	549
617	887	548
618	893	549
619	894	548
620	896	547
621	899	546
622	900	545
623	902	543
624	903	542
625	911	544
626	912	543
627	933	552
628	934	551
629	936	550
630	938	548
631	939	547
632	941	545
633	942	544
634	945	543
635	947	542
636	948	540
637	951	539
638	952	538
639	954	536
640	957	536
641	958	534
642	961	533
643	962	532
644	966	531
645	971	532
646	974	531
647	975	529
648	976	527
649	977	526
650	979	524
651	986	526
652	988	525
653	988	523
654	990	521
655	991	519
656	992	518
657	993	516
658	995	514
659	995	513
660	996	511
661	998	509
662	1004	510
663	1005	508
664	1006	507
665	1008	505
666	1010	504
667	1012	503
668	1013	501
669	1016	500
670	1018	499
671	1030	503
672	1032	501
673	1033	499
674	1034	498
675	1046	501
676	1048	500
677	1049	498
678	1080	510
679	1081	508
680	1082	507
681	1083	505
682	1085	503
683	1091	504
684	1134	521
685	1136	519
686	1137	518
687	1139	516
688	1143	516
689	1144	514
690	1145	512
691	1147	510
692	1150	509
693	1156	510
694	1158	508
695	1159	506
696	1161	504
697	1162	502
698	1162	500
699	1163	498
700	1164	496
701	1164	494
702	1173	495
703	1174	493
704	1176	492
705	1178	490
706	1178	488
707	1179	486
708	1195	490
709	1197	489
710	1198	487
711	1200	485
712	1202	484
713	1205	482
714	1205	480
715	1206	478
716	1208	476
717	1209	475
718	1210	472
719	1211	471
720	1221	472
721	1224	471
722	1226	469
723	1227	468
724	1229	466
725	1232	465
726	1235	463
727	1236	461
728	1237	460
729	1238	458
730	1250	460
731	1252	458
732	1253	456
733	1254	454
734	1255	452
735	1257	450
736	1258	449
737	1261	447
738	1262	446
739	1264	444
740	1265	442
741	1267	440
742	1268	438
743	1270	436
744	1270	434
745	1276	434
746	1278	433
747	1283	432
748	1285	430
749	1289	429
750	1291	428
751	1292	426
752	1293	424
753	1295	422
754	1320	428
755	1322	426
756	1324	425
757	1325	423
758	1327	421
759	1330	420
760	1332	418
761	1335	417
762	1336	415
763	1338	413
764	1341	412
765	1342	410
766	1345	408
767	1348	407
768	1349	405
769	1350	403
770	1352	401
771	1354	399
772	1355	398
773	1356	396
774	1358	394
775	1360	392
776	1366	392
777	1367	390
778	1369	388
779	1371	386
780	1372	384
781	1373	382
782	1378	382
783	1379	380
784	1379	377
785	1380	375
786	1382	374
787	1385	372
788	1386	370
789	1388	369
790	1394	368
791	1395	366
792	1396	364
793	1398	362
794	1399	360
795	1402	359
796	1404	357
797	1406	355
798	1407	354
799	1408	352
800	1412	350
801	1413	349
802	1414	347
803	1415	345
804	1419	343
805	1420	341
806	1420	339
807	1422	337
808	1422	335
809	1425	334
810	1426	332
811	1427	330
812	1428	328
813	1428	326
814	1431	324
815	1433	323
816	1435	321
817	1436	319
818	1437	317
819	1438	315
820	1439	313
821	1440	311
822	1440	309
823	1441	307
824	1442	305
825	1443	304
826	1444	302
827	1450	301
828	1451	299
829	1452	297
830	1453	295
831	1453	293
832	1454	291
833	1459	290
834	1460	288
835	1462	286
836	1463	284
837	1464	283
838	1466	281
839	1467	279
840	1468	277
841	1469	275
842	1470	273
843	1473	272
844	1477	270
845	1479	269
846	1481	267
847	1482	265
848	1483	263
849	1484	262
850	1485	260
851	1486	258
852	1486	256
853	1487	254
854	1488	252
855	1489	250
856	1490	248
857	1491	246
858	1492	244
859	1494	243
860	1494	241
861	1495	239
862	1496	237
863	1497	235
864	1498	233
865	1499	231
866	1499	230
867	1502	228
868	1504	226
869	1506	225
870	1508	223
871	1509	221
872	1510	219
873	1512	218
874	1513	216
875	1514	214
876	1527	214
877	1528	212
878	1529	210
879	1530	208
880	1530	206
881	1531	204
882	1533	203
883	1535	201
884	1536	199
885	1537	197
886	1539	196
887	1540	194
888	1541	192
889	1542	190
890	1544	188
891	1545	187
892	1546	185
893	1547	183
894	1549	181
895	1550	179
896	1551	178
897	1552	176
898	1554	174
899	1554	172
900	1555	170
901	1556	169
902	1558	167
903	1559	165
904	1560	163
905	1561	162
906	1562	160
907	1565	158
908	1566	156
909	1567	155
910	1568	153
911	1569	151
912	1570	149
913	1571	147
914	1572	146
915	1574	144
916	1575	142
917	1576	140
918	1579	139
919	1580	137
920	1581	135
921	1583	133
922	1584	132
923	1589	130
924	1591	129
925	1593	127
926	1594	125
927	1596	123
928	1598	122
929	1599	120
930	1600	118
931	1605	117
932	1606	115
933	1615	114
934	1617	112
935	1618	110
936	1619	108
937	1620	107
938	1621	105
939	1622	103
940	1627	102
941	1628	100
942	1631	98
943	1632	96
944	1633	95
945	1635	93
946	1637	91
947	1637	89
948	1639	88
949	1652	86
950	1654	85
951	1661	83
952	1663	82
953	1665	80
954	1667	78
955	1672	76
956	1674	75
957	1690	74
958	1691	72
959	1693	70
960	1694	68
961	1695	66
962	1696	65
963	1697	63
964	1698	61
965	1699	59
966	1702	58
967	1707	56
968	1709	54
969	1710	52
970	1712	51
971	1720	49
972	1721	47
973	1723	46
974	1726	44
975	1754	43
976	1756	41
977	1757	39
978	1770	37
979	1772	36
980	1772	34
981	1773	32
982	1774	30
983	1780	28
984	1781	27
985	1782	25
986	1783	23
987	1784	21
988	1788	19
989	1789	18
990	1790	16
991	1794	14
992	1795	12
993	1795	10
994	1796	9
995	1797	7
996	1798	5
997	1799	3
998	1800	1
999	1801	0
